id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms
489,tenuous,/ˈtenjuəs/,very weak or slight,mỏng manh,"flimsy, weak, fragile"
490,embellish,/ɪmˈbelɪʃ/,to make more attractive by adding detail,"tô điểm, phóng đại","adorn, decorate, exaggerate"
491,perceptible,/pərˈseptəbəl/,able to be perceived,có thể cảm nhận được,"noticeable, discernible, detectable "
492,anomaly,/əˈnɑːməli/,something different from the norm,sự bất thường,"irregularity, abnormality, aberration"
493,inconsolable,/ˌɪnkənˈsoʊlə bəl/,not able to be comforted,không thể nguôi ngoai,"disconsolate, brokenhearted, grief-stricken"
494,imperious,/ɪmˈpɪriəs/,assuming power without justification,kiêu kỳ,"arrogant, haughty, domineering"
495,gregarious,/ɡrɪˈɡeriəs/,fond of company; sociable,thích giao du,"sociable, outgoing, friendly"
496,truculent,/ˈtrʌkjələnt/,eager or quick to argue,"hung hăng, hay gây sự","aggressive, hostile, combative"
497,comprehensi ve ,/ˌkɑːmprɪˈhen sɪv/,complete; including everything,toàn diện,"thorough, all-inclusive, exhaustive"
498,meager,/ˈmiːɡər/,lacking in quantity or quality,"ít ỏi, nghèo nàn","scanty, paltry, sparse"
499,eccentric,/ɪkˈsentrɪk/,unconventional and slightly strange,lập dị,"unconventional, odd, quirky"
500,complacency,/kəmˈpleɪsən si/,a feeling of smug self-satisfaction,sự tự mãn,"smugness,self-satisfaction, contentment"
